이름,사육조건,음식,습성,주의사항
기니피그,케이지를 자주 청소하여 항상 깨끗이 한다.  기니피그의 건강에 유익한 온도는 18도에서 23도까지이다. 습기와 지나친 더위에 약하므로 주의하여야 한다.,"주식은 건초인데, 알팔파 건초와 티모시 건초로 나뉜다.  알팔파 건초는 보통 6개월전까지 먹이고 티모시 건초는 6개월 이후에 먹인다.   알팔파나 티모시를 먹일 땐 최대 무한증정을 해주어야 한다.",굉장히 온순하며 겁이 많은 편이다.   거의 모든 설치류의 특성상 기니피그도 어둡고 음침한 구석을 좋아하기 때문에 어디서 키우든 반드시 숨을 은신처를 마련해 줘야 한다.,식성은 채식이므로 곡물류는 주면 안 된다. '꾹 꾹' 하는 소리와 함께 몸을 움찔거리며 뭔가를 뱉어내려는 행동을 하는데 입에서 나오는 것은 없다. 
친칠라,성체 두 마리 정도가 충분하게 생활할 수 있는 공간이 필요하며 공간을 이탈하지 못하게 천장까지 신경을 써야 한다. 설치류 특성상 갉아먹는 습성이 강하므로 플라스틱으로 된 케이지 보다 철제 또는 수제작 케이지가 안전하다.,"친칠라는 기본 식단인 건초와 전용 사료 급여에 충실해야 한다.  기본 식단은 탄수화물 25 ~ 35%, 단백질 15 ~ 20%, 섬유질 30 ~ 35% 를 주축으로 설탕 5% 이하, 지방 3% 이하로 구성되어 있으며, 알파파와 티모시 두 종류가 있다.","굴이나 바위 틈에 서식하면서 주로 새벽이나 황혼 무렵에 활동하며, 식물의 잎, 과일, 씨앗 및 작은 곤충 등을 식량으로 삼는다. 최대 4,270 m 고도에서 무리를 이루고 산다. 때로는 집단 거주(colonies)에 가까운 사회 집단을 이루며 생활하기도 한다.","원래 건조하고 추운 곳에서 사는 동물이므로 온도와 습도 관리가 철저해야 한다. 친칠라는 조밀한 털 구조를 가지고 있는 까닭에 온도와 습도에 대한 적응이 느리고, 땀을 흘리지 않는 특성으로 말미암아 사람처럼 체온을 조절할 수 없다. "
햄스터,"일단 햄스터의 쳇바퀴는 크면 클수록 좋다. 되도록이면 좌측 녹색 쳇바퀴를 구비해주는게 가장 좋지만 상황이 어여치 않다면 최소 크기의 쳇바퀴라도 구비해줘야한다. 참고로, 골든 햄스터는 무조건 좌측 쳇바퀴를 구비해줘야한다.","혼합사료 : 펠렛, 익스, 각종 견과류, 각종 알곡, 옥수수, 밀웜 등등이 섞여있는 사료. 가장 일반적인 햄스터 사료로 햄스터 입장에서도 골라먹는 재미가 있기 때문에 사용하기 적합하다. 단점으로는 어느 햄스터나 예외없이 편식을 하기 때문에 포장지에 적혀 있는 영양비가 제대로 지켜진다는 보장이 없다. ","햄스터는 야생에서 굴을 파며 다니기 때문에 기본적인 습성을 만족시켜주고, 스트레스 관리를 위해서 케이지 전체 베딩은  필수적이다.햄스터는 야생에서 거의 모든 동물이 천적이였다. 따라서 숨는 걸 굉장히 좋아하는 동물이다. 그렇기에 최소 3~4개 이상의 빛이 안들어오는 은신처를 케이지에 구비 해주어야한다.",햄스터는 자기만의 영역을 갖고 생활하는 동물이며 그 중에서도  골든햄스터는 철저한 영역동물 이라서 햄스터 한 마리에 케이지 하나가 절대적으로 지켜져야 한다.햄스터는 대체로 독립적인 생활을 하기 때문에 사람과의 정을 느낄 수 없다. 
금붕어,마리당 최소30L의 물량은 있어야 금붕어가 살기 좋다고 알려져 있습니다. 최적 수온은 24~27도이며 적정 pH는 7점대입니다.,"금붕어 먹이량은 3분~5분 정도에서 다 먹을 수 있는 양을 급여하면 됩니다.사료,냉동 장구벌레,물벼룩,냉동 브라인쉬림프 등을 다 잘먹습니다. 너무 고단백인 먹이를 많이 급여하게 되면 부레병에 걸릴 수 있어 식물성 먹이도 같이 골고루 급여하는것이 좋습니다.",무리를 지어 생활하는 습성이 있어 다른 어종과 섞여서 키우는데는 무리가 있습니다.바닥재를 씹는 행위도 먹이활동을 위한 습성이다.,잡식성이라서 입안에 들어가는건 뭐든지 입에 넣어보는 성격을 가지고 있습니다.그래서 소형 열대어나 관상용 새우와는 함께 사육할수 없습니다.필요이상으로 어항 안에 손을 넣는다거나 직접 금붕어를 건들며 어항을 툭툭 친다는 등의 이런 행동을 하게 되면 스트레스를 받을 수가 있답니다금붕어들은 수영하면서 몸을 여기저기 비비기도 하는데 만약 날카로운 유목이나 동글동글한 바닥재가 아닌 뾰족한 바닥재가 있으면 금붕어들에게 상처를 입힐수도 있으니 날카로운것들은 피해야 합니다.
구피,"수온은 26℃ 전후가 적온이며 경도는 15~30dH 점대입니다.전문가들은 야생에서와 달리 집에서 사육 시 약간의 염분이 첨가되면 사육하는 것이 더 좋다고 합니다.히터는 무조건 필요하며, 여름에는 간혹 좁은 어항의 경우 온도가 높아지는 경우가 있을 수 있기때문에
냉각기등의 온도조절장치를 이용해서 수온을 조절하는 것이 필요합니다.","구피는 잡식성으로 대부분 잘 먹는 다고 하는데요.구피 전용 사료를 기본으로 주식으로 하고 가끔씩 브라인쉬림프를 부화시켜 먹이는 경우도 많다고 합니다.요즘은 생먹이도 건조되어서 제조되어 편하게 급여할 수 있다고 합니다.
구피밥을 줄때 먹이양은 하루에 1~2회를 주되 한번 급여시 2분에서3분이내에 먹을 수 있는 만큼의 먹이 양을 줍니다.","많은 열대어와 달리 구피는 '난태생'이라는 방법으로 번식을 하는 습성이 있습니다.
구피는 본능적으로 눈앞에 움직이는 것들을 먹는 습성을 가지고있어서 꼭 새끼를 낳기전에 다른 구피들과 분리해주어야합니다.","번식을 계속 하는 경우 외부에서 새로운 개체를 도입하는 것이 좋습니다.너무 잦은 물갈이는 피하는게 좋습니다(2주~한달간격으로 갈아주면된다).
구피는 세대 교체가 빠른 어종으로,동일한 어항에서 계속 번식을 하게 되면 유전자풀이 좁아져서 기형이나 병약한 개체가 발생하기 쉽습니다."
네온테트라,"여과기와 어항히터가 있는 환경에서 무난하게 키우기 좋은 열대어 종류입니다.
네온 테트라 키우기 수온은 약 25~28도를 맞추는 것을 권장합니다
25도 미만에서는 면역력 저하 등으로 백점병에 취약할 수 있으므로 늘 적당한 온도에 맞춰서 일정하게 유지하는 것이 중요합니다.
일반적으로 가로 30cm 이상 어항부터 키우기 좋습니다.","일반적인 테트라 물고기용 열대어 사료를 급여하면 되는데요.
대부분의 열대어 사료를 잘 먹는 편이지만 입이 작은 물고기라 알갱이 크기는 작은 것이 좋습니다.
네온테트라는 대부분의 인공 열대어사료에 쉽게 적응하는 물고기로 먹이 급여가 어렵지 않습니다.","네온테트라는 수초에 알을 낳는 습성을 가지고 있습니다.
알을 낳고 바로 알을 먹어버리는 습성을 가지고 있어서 알이 무사히 부화하기 위해서 물고기를 옮겨주는 것이 중요합니다.","엔젤피쉬 및 중형이상의 육식어들은 네온테트라를 먹으므로 합사하면 안됩니다.
비슷한 크기의 공격적이지 않은 열대어와 합사를 해야합니다.(가재,거북이등과의 합사도 안된다.)
네온테트라는 물생활 초보자에게는 어려운 편에 속한다.(번식방법이 까다로워 성공하기가 어렵다)"
앵무새,앵무새를 사육할때 적정 온도는 보통 25~30도 습도는 60%정도,"과일과 씨앗, 곤충을 먹는 초식 위주의 잡식성이지만 가끔 소형 동물도 먹이가 된다",호기심이 많아 부리로 잘 물어보는 습성이 있다,혹시나 삼킬 수 있으니 작은 플라스틱같은 것들을 가까이 두지 않게 하는게 중요
카나리아,"적절한 온도관리, 위생적인 환경유지, 일광욕과 수욕, 균형잡힌 영양공급",카나리아용 새모이(혼합사료) 씨앗과 열매,"카나리아는 기본적으로 자립심이 있고, 경계심도 강하고 겁이 많은 성격",카나리아는 케이지를 나눠서 단독사육을 하는 것이 기본
십자매,좁은 새장도 상관없으나 기본적으로 잘 날아다니므로 새장은 넓을수록 좋다,"벌래+알곡모이가 가장 좋으나 형편상 곤란할 경우 곡류에 계란껍데기,야채라도 챙겨줘야 한다",성질이 온순하고 새장에 여러마리를 넣어도 자매처럼 친하게 지낸다,"소음이나 입질, 털문제도 적은 편"
뱀,"뱀 크기에 맞는 잠금이 가능한 사육장, 바닥재, 물그릇, 은신처, 열원. 사육장에 보이는 배설물들은 그때마다 바로 치워주는 것이 좋으며 청소는 일주일에 한 번,  적어도 한달에 한 번은 대청소를 해주어야 한다.","머리 넓이에 맞는 마우스, 랫이나 병아리, 메추라기가 주식. 한 번 먹이를 주면 당분간은 소화시킬 기간이 필요하며 먹이를 주는 적당한 기간은 1~2주.","뱀은 감각기관이 발달한 동물은 아니기 때문에 혀를 이용하여 상황을 식별한다. 종에 따라 야행성, 주행성으로 나뉜다. 주기적으로 탈피를 한다. ",살아있는 쥐같은 것을 먹이를 주는 경우가 있으나 이 때는 뱀이 쥐에게 물려 죽을 수도 있으니 주의가 필요함. 합사는 권장하지 않는다. 1 마리당 사육장 1개씩이 필요함.
